block_id,carcass_id,carcass_type,carcass_taxon,tissue_type,tissue_replication,tissue_mass_g,family_id,success,initial_larval_mass_g,end_larval_mass_g,larval_weight_gain,mean_prop_protein,mean_prop_fat
2,6,wild,reptile,muscle,2,0.36514,4,0,0.00206,NA,NA,0.263177504,5.76813e-4
2,6,wild,reptile,muscle,3,0.3924,34,0,0.00221,NA,NA,0.263177504,5.76813e-4
2,6,wild,reptile,viscera,1,0.37425,29,0,0.00223,NA,NA,0.28264577,0.053272297
2,6,wild,reptile,viscera,2,0.40059,4,0,0.00216,NA,NA,0.28264577,0.053272297
2,6,wild,reptile,viscera,3,0.39431,3,0,0.00249,NA,NA,0.28264577,0.053272297
2,5,wild,reptile,muscle,1,0.37348,29,0,0.00231,NA,NA,0.260550502,0.001359804
2,5,wild,reptile,muscle,2,0.36861,5,0,0.00238,NA,NA,0.260550502,0.001359804
2,5,wild,reptile,muscle,3,0.39028,4,0,0.00223,NA,NA,0.260550502,0.001359804
2,5,wild,reptile,viscera,1,0.36766,29,0,0.00229,NA,NA,0.216337039,0.006977992
2,5,wild,reptile,viscera,2,0.44655,5,0,0.00226,NA,NA,0.216337039,0.006977992
2,5,wild,reptile,viscera,3,0.36672,4,0,0.00237,NA,NA,0.216337039,0.006977992
2,4,wild,bird,muscle,1,0.43994,29,0,0.0028,NA,NA,0.315027371,3.92157e-4
2,4,wild,bird,muscle,2,0.40231,4,0,0.00248,NA,NA,0.315027371,3.92157e-4
2,4,wild,bird,muscle,3,0.366,3,0,0.00229,NA,NA,0.315027371,3.92157e-4
2,4,wild,bird,viscera,1,0.38,29,0,0.00282,NA,NA,0.367528131,0.008045495
2,4,wild,bird,viscera,2,0.3971,30,0,0.00228,NA,NA,0.367528131,0.008045495
2,4,wild,bird,viscera,3,0.43632,29,0,0.00233,NA,NA,0.367528131,0.008045495
2,2,wild,bird,muscle,1,0.37056,29,1,0.00289,0.1103,0.10740999999999999,0.340983918,0.089286082
2,2,wild,bird,muscle,2,0.39365,30,1,0.0017,0.1298,0.1281,0.340983918,0.089286082
2,2,wild,bird,muscle,3,0.43452,4,1,0.00255,0.11562,0.11307,0.340983918,0.089286082
2,2,wild,bird,viscera,1,0.35071,29,0,0.00257,NA,NA,0.313606657,0.010212067
2,2,wild,bird,viscera,2,0.3625,30,1,0.0018600000000000001,0.03856,0.036699999999999997,0.313606657,0.010212067
2,1,wild,bird,muscle,1,0.39783,29,0,0.00206,NA,NA,0.261897342,6.39e-5
2,1,wild,bird,muscle,2,0.39467,8,0,0.00246,NA,NA,0.261897342,6.39e-5
2,1,wild,bird,muscle,3,0.36693,30,1,0.00137,0.13337,0.13199999999999998,0.261897342,6.39e-5
2,1,wild,bird,viscera,1,0.42186,29,0,0.00255,NA,NA,0.356167664,0.005131399
2,1,wild,bird,viscera,2,0.42715,8,0,0.00183,NA,NA,0.356167664,0.005131399
2,1,wild,bird,muscle,4,0.36755,30,0,0.00125,NA,NA,0.356167664,0.005131399
