date,carcass_sp_Chinese,carcass_type,carcass_taxon,carcass_weight,parent_generation,pair_id,male_size,female_size,clutch_size,n_larvae,total_larval_mass,carcass_weight_loss,breeding_success,prop_eggs_developed,average_larval_mass,larval_density,efficiency
2023-11-28,小白鼠,lab,mammals,3.98,3,1,4.48,5.05,16,1,0.1676,3.8147,1,0.0625,0.1676,0.25125628140703515,0.9584673366834171
2023-11-28,小白鼠,lab,mammals,6.18,3,2,4.7,5.69,0,0,0,0.7514,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,7.18,3,3,5.11,5,17,13,1.7031,2.2707,1,0.7647058823529411,0.13100769230769232,1.8105849582172702,0.3162534818941505
2023-11-28,小白鼠,lab,mammals,11.65,3,4,5.21,5.24,0,0,0,0.9988,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,19.01,3,5,5.21,5.65,18,7,1.1531,2.1265,1,0.3888888888888889,0.16472857142857142,0.3682272488164124,0.11186217780115727
2023-11-28,小白鼠,lab,mammals,17.45,3,6,4.66,5.5,45,14,2.8808,3.9296,1,0.3111111111111111,0.20577142857142855,0.8022922636103152,0.2251919770773639
2023-11-28,小白鼠,lab,mammals,10.54,3,7,5.01,5.67,14,10,1.5772,1.9809,1,0.7142857142857143,0.15772,0.9487666034155599,0.18794117647058825
2023-11-28,小白鼠,lab,mammals,17.66,3,8,4.99,5.21,21,19,3.2548,3.1683,1,0.9047619047619048,0.17130526315789474,1.0758776896942241,0.17940543601359002
2023-11-28,小白鼠,lab,mammals,8.74,3,9,4.79,5.6,0,0,0,0.7044,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,7.87,3,10,5.35,5.21,4,0,0,0.8097,0,0,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,11.2,3,11,4.82,5.07,24,16,2.6956,3.7957,1,0.6666666666666666,0.168475,1.4285714285714286,0.33890178571428575
2023-11-28,小白鼠,lab,mammals,14.07,3,12,5.01,5.19,25,12,2.6857,3.891,1,0.48,0.22380833333333336,0.8528784648187633,0.276545842217484
2023-11-28,小白鼠,lab,mammals,23.01,3,13,4.54,5.1,39,28,6.9616,5.8828,1,0.717948717948718,0.24862857142857142,1.2168622338113864,0.25566275532377225
2023-11-28,小白鼠,lab,mammals,27.04,3,14,5.18,4.76,41,5,1.6378,3.8278,1,0.12195121951219512,0.32755999999999996,0.1849112426035503,0.14156065088757397
2023-11-28,小白鼠,lab,mammals,25.06,3,15,4.91,4.1,43,31,5.9003,8.4801,1,0.7209302325581395,0.19033225806451612,1.2370311252992818,0.338391859537111
2023-11-28,小白鼠,lab,mammals,29.74,3,16,3.71,4.51,0,0,0,2.2673,0,NA,NA,NA,NA
2023-11-28,小白鼠,lab,mammals,24.84,3,17,4.37,4.99,24,27,6.994,5.814,1,1.125,0.259037037037037,1.0869565217391304,0.23405797101449274
2023-11-28,小白鼠,lab,mammals,25.29,3,18,5.71,4.22,26,23,5.5078,8.4373,1,0.8846153846153846,0.2394695652173913,0.9094503756425465,0.3336219849742982
