date,time,parent_generation,tr,carc_type,carc_stage,carc_date,carc_wt,pair,male,female,male_size,female_size,larvae,success,carcass_used,tot_mass,efficiency_new_method,efficiency,ball,larvae_presence,hair_removal,clutch_size,egg_presence,notes,time_to_ball,time_to_larvae_presence,time_to_hair_removal,time_to_egg_presence,,yield,larval_density,sp,class,class_bird
5/23/23,,1,lab,小白鼠,,,20.08,3,83,55,5.07,5.73,14,1,,2.0899,,0.104078685,,,,,,1,,,,,,0.149278571,0.697211155,小白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,46.32,4,84,62,6.42,5.58,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,52.89,5,85,54,5.8,5.56,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,小白鼠,,,39.82,6,87,58,5.53,5.81,5,1,,1.2555,,0.031529382,,,,,,1,,,,,,0.2511,0.125565043,小白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,64.12,7,63,66,5.25,5.62,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,60.85,8,74,77,4.59,5.19,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,70.74,9,61,89,5.83,5.82,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,68.47,10,80,53,,,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,大白鼠,,,87.42,11,64,90,4.9,6.19,0,0,,0,,,,,,,,1,,,,,,,,大白鼠,mammals,mice
5/23/23,,1,lab,小白鼠,,,30.41,12,72,75,4.33,4.89,10,1,,2.829,,0.093028609,,,,,,1,,,,,,0.2829,0.328839198,小白鼠,mammals,mice
5/23/23,,1,lab,小白鼠,,,29.59,13,90,60,6.01,5.32,0,0,,0,,,,,,,,1,,,,,,,,小白鼠,mammals,mice
5/23/23,,1,lab,小白鼠,,,17.02,14,54,83,5.34,6.15,27,1,,4.6352,,0.272338425,,,,,,1,,,,,,0.171674074,1.586368978,小白鼠,mammals,mice
5/23/23,,1,lab,小白鼠,,,26.02,15,79,80,5.54,5.24,27,1,,6.5825,,0.252978478,,,,,,1,,,,,,0.243796296,1.037663336,小白鼠,mammals,mice
9/17/23,9/17/23 15:00,2,wild,家燕,chick,,7.46,1,12,2,5.73,5.71,0,0,,0,,,9/19/23 15:00,,9/19/23 7:00,2,9/18/23 7:00,1,2,,1.666666667,0.666666667,,,,家燕,birds,birds
9/17/23,9/17/23 15:00,2,wild,444671,,,5.55,2,13,40,5.46,5.97,0,0,,0,,,9/18/23 23:00,9/22/23 15:00,9/18/23 23:00,5,9/18/23 15:00,1,1.333333333,5,1.333333333,1,,,,臺灣長尾鼩,mammals,others
9/17/23,9/17/23 15:00,2,wild,斯式繡眼,immature,,3.17,3,56,61,5.55,5.32,0,0,,0,,,9/19/23 23:00,,9/19/23 23:00,0,,1,2.333333333,,2.333333333,,,,,斯式繡眼,birds,birds
9/17/23,9/17/23 15:00,2,wild,斯式繡眼,immature,,4.66,4,46,32,5.74,4.63,0,0,,0,,,9/20/23 7:00,,9/20/23 7:00,0,,1,2.666666667,,2.666666667,,,,,斯式繡眼,birds,birds
9/17/23,9/17/23 15:00,2,wild,家燕,adult,,12.26,5,36,45,5.46,4.64,17,1,,2.1719,,0.177153344,9/20/23 23:00,9/21/23 23:00,9/19/23 7:00,18,9/18/23 15:00,1,3.333333333,4.333333333,1.666666667,1,9/27/23,0.127758824,1.386623165,家燕,birds,birds
